Date,Invoice ID,Product Line,Item_Type,BASEUNIT,Quantity,Unit price,Tax 5%,cogs,Total,DIVISION
01/27/2019,SI478-BNY-78/79,KAACH CHURA SET 'B',Dairy,PC,8,58.22,23.288,465.76,489.048,Maitidevi
08/02/2019,SI479-BNY-78/79,DABUR HONEY 1KG,Soft Drinks,PC,7,86.31,30.2085,604.17,634.3785,Maitidevi
07/02/2019,SI480-BNY-78/79,KAVERI MEHENDI ,Meat,PC,10,43.19,21.595,431.9,453.495,Maitidevi
02/17/2019,SI480-BNY-78/79,SCAP BEND,Fruits and Vegetables,PC,5,34.56,8.64,172.8,181.44,Maitidevi
02/03/2019,SI480-BNY-78/79,KOOL MANGO FRUTI 200ML,Household,PC,3,88.63,13.2945,265.89,279.1845,Maitidevi
10/03/2019,SI480-BNY-78/79,CHANA 1KG,Baking Goods,kg,5,62.62,15.655,313.1,328.755,Maitidevi
07/02/2019,SI480-BNY-78/79,KAACH CHURA SET 'B',Snack Foods,PC,8,89.6,35.84,716.8,752.64,Maitidevi
01/22/2019,SI480-BNY-78/79,AAYO ULTRA LAUNDARY  SOAP 180GMS,Snack Foods,PC,9,74.67,33.6015,672.03,705.6315,Maitidevi
08/03/2019,SI480-BNY-78/79,KAVERI EASY FAST COPPER RED,Frozen Foods,PC,1,97.16,4.858,97.16,102.018,Maitidevi
03/23/2019,SI481-BNY-78/79,NMC YOGHURT 500ML,Frozen Foods,PC,3,52.75,7.9125,158.25,166.1625,Maitidevi
12/01/2019,SI481-BNY-78/79,CLEAR COMPLETE ACTIVE CARE OIL 150ML ,Fruits and Vegetables,PC,10,88.67,44.335,886.7,931.035,Maitidevi
01/19/2019,SI481-BNY-78/79,KOOL MANGO FRUTI 200ML,Dairy,PC,9,58.07,26.1315,522.63,548.7615,Maitidevi
03/16/2019,SI482-BNY-78/79,ANANTA BHOG MAIDA 1KG,Fruits and Vegetables,PC,8,72.5,29,580,609,Maitidevi
03/01/2019,SI482-BNY-78/79,SONATA GOLDEN NAIL POLISH 6ML,Snack Foods,PC,5,70.01,17.5025,350.05,367.5525,Maitidevi
