Date,Invoice ID,Product Line,Item_Type,BASEUNIT,Quantity,Unit price,Tax 5%,cogs,Total,DIVISION
01/27/2019,SI478-BNY-78/79,KAACH CHURA SET 'B',Dairy,PC,8,58.22,23.288,465.76,489.048,Maitidevi
02/08/2019,SI479-BNY-78/79,DABUR HONEY 1KG,Soft Drinks,PC,7,86.31,30.2085,604.17,634.3785,Maitidevi
02/07/2019,SI480-BNY-78/79,KAVERI MEHENDI ,Meat,PC,10,43.19,21.595,431.9,453.495,Maitidevi
02/17/2019,SI480-BNY-78/79,SCAP BEND,Fruits and Vegetables,PC,5,34.56,8.64,172.8,181.44,Maitidevi
03/02/2019,SI480-BNY-78/79,KOOL MANGO FRUTI 200ML,Household,PC,3,88.63,13.2945,265.89,279.1845,Maitidevi
03/10/2019,SI480-BNY-78/79,CHANA 1KG,Baking Goods,kg,5,62.62,15.655,313.1,328.755,Maitidevi
02/07/2019,SI480-BNY-78/79,KAACH CHURA SET 'B',Snack Foods,PC,8,89.6,35.84,716.8,752.64,Maitidevi
01/22/2019,SI480-BNY-78/79,AAYO ULTRA LAUNDARY  SOAP 180GMS,Snack Foods,PC,9,74.67,33.6015,672.03,705.6315,Maitidevi
03/08/2019,SI480-BNY-78/79,KAVERI EASY FAST COPPER RED,Frozen Foods,PC,1,97.16,4.858,97.16,102.018,Maitidevi
03/23/2019,SI481-BNY-78/79,NMC YOGHURT 500ML,Frozen Foods,PC,3,52.75,7.9125,158.25,166.1625,Maitidevi
01/12/2019,SI481-BNY-78/79,CLEAR COMPLETE ACTIVE CARE OIL 150ML ,Fruits and Vegetables,PC,10,88.67,44.335,886.7,931.035,Maitidevi
01/19/2019,SI481-BNY-78/79,KOOL MANGO FRUTI 200ML,Dairy,PC,9,58.07,26.1315,522.63,548.7615,Maitidevi
03/16/2019,SI482-BNY-78/79,ANANTA BHOG MAIDA 1KG,Fruits and Vegetables,PC,8,72.5,29,580,609,Maitidevi
01/03/2019,SI482-BNY-78/79,SONATA GOLDEN NAIL POLISH 6ML,Snack Foods,PC,5,70.01,17.5025,350.05,367.5525,Maitidevi
03/21/2019,SI482-BNY-78/79,ANANTA BHOG SUJI 500GMS,Fruits and Vegetables,PC,9,33.84,15.228,304.56,319.788,panga
03/23/2019,SI482-BNY-78/79,BRITANNIA GOOD DAY BUTTER 75GMS,Breakfast,PC,6,73.88,22.164,443.28,465.444,panga
03/23/2019,SI482-BNY-78/79,KOOL MANGO FRUTI 200ML,Health and Hygiene,PC,10,15.5,7.75,155,162.75,panga
02/10/2019,SI482-BNY-78/79,PATANJALI SAUNDARYA ALOE VERA GEL 60ML,Breakfast,PC,1,74.07,3.7035,74.07,77.7735,panga
01/25/2019,SI482-BNY-78/79,AAYO ULTRA LAUNDARY  SOAP 180GMS,Hard Drinks,PC,9,26.23,11.8035,236.07,247.8735,panga
03/09/2019,SI482-BNY-78/79,JULY TOP,Dairy,PC,10,51.94,25.97,519.4,545.37,panga
01/11/2019,SI482-BNY-78/79,ROCK TOP,Snack Foods,PC,1,89.69,4.4845,89.69,94.1745,panga
01/23/2019,SI482-BNY-78/79,SCAP BEND,Baking Goods,PC,5,17.94,4.485,89.7,94.185,panga
02/05/2019,SI482-BNY-78/79,CELLO SUNFLOWER OIL 500ML ,Household,PC,6,25.91,7.773,155.46,163.233,Koteshwor
02/13/2019,SI483-BNY-78/79,LOCAL OKHAR 250GMS,Baking Goods,kg,4,32.25,6.45,129,135.45,Koteshwor
03/04/2019,SI484-BNY-78/79,PATANJALI MIX VEG PICKLE 400GM,Frozen Foods,PC,6,99.83,29.949,598.98,628.929,Koteshwor
01/10/2019,SI485-BNY-78/79,THULO MUSURO DAAL 1KG,Household,kg,6,78.38,23.514,470.28,493.794,Koteshwor
03/26/2019,SI485-BNY-78/79,UPAKAR GAHAT 1KG,Snack Foods,PC,7,72.2,25.27,505.4,530.67,Koteshwor
